#{"t_start": 1760181361.28534, "env_id": "None"}
r,l,t
101.0,1,13.050251
103.0,3,13.055812
101.0,1,13.057081
101.0,1,13.058392
101.0,3,13.061994
101.0,1,13.06317
101.0,1,13.06464
101.0,1,13.065985
101.0,1,13.067154
101.0,1,13.068365
104.0,4,13.074044
101.0,1,13.075352
102.0,2,13.07775
101.0,1,13.07891
101.0,1,13.080057
101.0,1,13.081271
104.0,7,13.090021
102.0,2,13.092486
102.0,2,13.094994
101.0,1,13.096256
102.0,2,13.098892
101.0,1,13.100094
101.0,1,13.101336
102.0,2,13.104159
104.0,5,13.110007
101.0,2,13.112303
2.0,10,13.125237
102.0,2,13.127732
101.0,1,13.128948
102.0,2,13.131596
103.0,3,13.135804
103.0,3,13.139292
104.0,5,13.145387
101.0,1,13.146676
101.0,2,13.149187
101.0,1,13.150488
101.0,1,13.151673
102.0,2,13.154137
101.0,3,13.157752
102.0,3,13.161275
104.0,4,13.167104
101.0,1,13.168532
101.0,1,13.16983
101.0,1,13.171007
101.0,2,13.173432
103.0,5,13.180969
103.0,3,13.184547
104.0,6,13.192201
101.0,1,13.193394
101.0,1,13.194615
104.0,4,13.199751
101.0,2,13.202056
101.0,1,13.203313
102.0,2,13.205493
102.0,2,13.20814
101.0,1,13.209341
102.0,5,13.217729
102.0,2,13.221982
102.0,3,13.225667
101.0,1,13.226981
105.0,6,13.234417
102.0,2,13.236598
101.0,1,13.23794
101.0,2,13.240416
102.0,2,13.242784
101.0,1,13.244703
102.0,2,13.247186
101.0,1,13.248426
101.0,1,13.24966
101.0,1,13.25084
103.0,3,13.254487
106.0,8,13.264611
101.0,3,13.268277
102.0,3,13.272134
102.0,2,13.274617
101.0,2,13.278585
102.0,3,13.283681
102.0,2,13.287264
102.0,3,13.292665
102.0,2,13.296394
101.0,2,13.300023
101.0,1,13.301841
101.0,1,13.303807
101.0,1,13.305617
103.0,5,13.312683
101.0,1,13.313897
101.0,2,13.316237
102.0,5,13.322366
105.0,8,13.336341
101.0,1,13.338149
102.0,2,13.340958
101.0,1,13.342171
102.0,4,13.347295
104.0,4,13.352589
104.0,7,13.364717
101.0,1,13.366592
101.0,1,13.368552
102.0,4,13.375027
102.0,2,13.377451
103.0,3,13.380857
101.0,1,13.382118
101.0,2,13.384555
101.0,1,13.386007
101.0,3,13.389741
102.0,4,13.39449
3.0,10,13.406574
101.0,1,13.408033
101.0,1,13.409193
102.0,2,13.41168
101.0,4,13.416679
103.0,4,13.42389
102.0,2,13.427333
101.0,1,13.429166
101.0,1,13.430903
105.0,5,13.437948
101.0,2,13.440318
104.0,4,13.445007
103.0,3,13.448492
101.0,1,13.450544
101.0,2,13.454048
101.0,1,13.455922
104.0,4,13.463266
102.0,3,13.468578
101.0,1,13.469886
101.0,1,13.471071
101.0,2,13.473412
101.0,1,13.474669
101.0,1,13.475999
101.0,1,13.477328
102.0,2,13.479775
103.0,4,13.487587
101.0,1,13.490698
103.0,4,13.499394
101.0,1,13.501422
102.0,2,13.50477
106.0,8,13.518436
102.0,2,13.522278
104.0,5,13.531711
101.0,2,13.535257
101.0,2,13.538688
102.0,2,13.542248
101.0,1,13.544095
104.0,6,13.551728
101.0,1,13.553099
102.0,2,13.555527
101.0,1,13.556862
101.0,1,13.558206
101.0,1,13.559481
104.0,8,13.569596
101.0,1,13.570851
101.0,2,13.573371
104.0,6,13.580634
102.0,2,13.583246
101.0,1,13.584465
101.0,1,13.585716
102.0,3,13.589534
104.0,5,13.595954
101.0,1,13.597281
103.0,4,13.601665
101.0,1,13.602916
102.0,3,13.606622
101.0,1,13.607811
101.0,1,13.609181
104.0,7,13.620433
101.0,6,13.631541
106.0,6,13.642112
104.0,5,13.651085
101.0,1,13.652917
103.0,3,13.657974
104.0,6,13.66491
101.0,1,13.666112
103.0,3,13.669935
101.0,1,13.671121
102.0,2,13.673687
104.0,7,13.681852
101.0,1,13.683107
101.0,1,13.684289
101.0,2,13.686591
103.0,3,13.691002
101.0,1,13.692159
101.0,1,13.693412
102.0,2,13.695753
102.0,2,13.698225
102.0,2,13.70081
101.0,1,13.702003
102.0,2,13.704529
102.0,3,13.708287
102.0,2,13.710642
102.0,3,13.71446
102.0,2,13.716894
101.0,1,13.718152
103.0,3,13.722184
103.0,3,13.725949
101.0,1,13.72719
101.0,1,13.728356
101.0,1,13.729508
103.0,3,13.733307
101.0,1,13.734458
103.0,3,13.738135
101.0,2,13.742074
102.0,2,13.746297
102.0,2,13.749839
102.0,2,13.75345
103.0,4,13.758507
101.0,1,13.759719
102.0,2,13.762162
104.0,4,13.766976
101.0,1,13.769077
101.0,1,13.770386
101.0,1,13.771606
102.0,2,13.774096
103.0,3,13.777779
102.0,2,13.780249
105.0,7,13.789199
105.0,5,13.795357
102.0,2,13.797934
102.0,6,13.808169
102.0,2,13.811814
101.0,1,13.813643
101.0,1,13.815564
101.0,1,13.817325
101.0,1,13.818624
105.0,10,13.830325
101.0,1,13.831726
101.0,1,13.832993
105.0,5,13.838926
101.0,3,13.843761
102.0,3,13.849639
105.0,9,13.861091
101.0,1,13.862415
101.0,1,13.863787
101.0,1,13.865037
101.0,1,13.866285
103.0,5,13.872252
101.0,1,13.873631
103.0,5,13.880225
102.0,2,13.882722
102.0,4,13.887455
101.0,1,13.888668
102.0,2,13.891359
103.0,5,13.898928
102.0,2,13.902693
101.0,1,13.904527
104.0,5,13.914028
103.0,3,13.919601
104.0,5,13.928099
104.0,4,13.932773
101.0,1,13.934033
102.0,3,13.937597
101.0,1,13.938844
104.0,7,13.947497
102.0,2,13.949945
102.0,2,13.952444
101.0,1,13.953767
104.0,4,13.958903
101.0,1,13.960116
106.0,8,13.970237
101.0,1,13.97173
103.0,4,13.977311
102.0,2,13.97974
104.0,6,13.989435
104.0,5,13.996356
101.0,1,13.997579
101.0,1,13.998798
101.0,2,14.001534
101.0,2,14.004876
103.0,3,14.008992
106.0,7,14.017639
101.0,1,14.01892
101.0,1,14.020316
101.0,1,14.021614
101.0,1,14.022863
102.0,2,14.025356
101.0,1,14.026649
101.0,2,14.029063
102.0,3,14.032792
102.0,2,14.035882
101.0,1,14.037127
101.0,1,14.038408
102.0,3,14.041817
102.0,3,14.045631
102.0,5,14.052912
103.0,4,14.059716
101.0,1,14.061701
102.0,2,14.06509
101.0,1,14.066843
101.0,1,14.068208
101.0,1,14.069365
101.0,1,14.070621
101.0,1,14.071937
102.0,2,14.074407
101.0,2,14.076872
101.0,1,14.078671
103.0,3,14.08354
101.0,1,14.085116
102.0,3,14.088756
102.0,2,14.091209
101.0,1,14.092417
102.0,3,14.095912
103.0,3,14.100355
101.0,1,14.101526
103.0,3,14.104986
106.0,6,14.112338
101.0,1,14.113647
104.0,5,14.120012
101.0,1,14.121266
101.0,1,14.122517
102.0,3,14.126407
