#{"t_start": 1760184802.503352, "env_id": "None"}
r,l,t
101.0,1,14.666639
104.0,8,14.677933
103.0,3,14.681335
106.0,7,14.690138
104.0,6,14.697437
101.0,1,14.698756
101.0,1,14.699976
101.0,1,14.702153
106.0,7,14.714306
101.0,1,14.716131
101.0,1,14.71839
103.0,3,14.723721
104.0,5,14.7324
101.0,1,14.7343
101.0,1,14.735621
104.0,4,14.740506
101.0,1,14.74174
101.0,1,14.742982
101.0,2,14.745455
104.0,4,14.75086
101.0,1,14.752094
101.0,1,14.753364
101.0,1,14.754554
102.0,2,14.756758
102.0,2,14.759054
101.0,2,14.761497
101.0,2,14.763997
101.0,1,14.765889
101.0,1,14.76721
101.0,2,14.769711
101.0,1,14.771017
101.0,3,14.774773
101.0,1,14.775971
104.0,5,14.784262
101.0,1,14.78601
